Date,CHF/USD
2023-10-26,1.1115225852105202
2023-10-27,1.1104407693945633
2023-10-30,1.1071836346336823
2023-10-31,1.1089866615487958
2023-11-02,1.1073088196744751
2023-11-03,1.1059798838903887
2023-11-06,1.1158701098477548
2023-11-07,1.1107831137350903
2023-11-08,1.1085781264950723
2023-11-09,1.1104955074314071
2023-11-10,1.108200758032977
2023-11-13,1.108525823407436
2023-11-14,1.1094394564426109
2023-11-15,1.1246384693347835
2023-11-16,1.1246319435853025
2023-11-17,1.1264661393111315
2023-11-20,1.1329560819269868
2023-11-21,1.1309864099092324
2023-11-22,1.1307366849178697
2023-11-23,1.1327278640946734
2023-11-24,1.1307882203326434
2023-11-27,1.1345520380195628
2023-11-28,1.1364779874213837
2023-11-29,1.1406606211054258
2023-11-30,1.1431801055011304
2023-12-01,1.1443247306439488
2023-12-04,1.1462484316185697
2023-12-05,1.1448008018040592
2023-12-06,1.1437739415949455
2023-12-07,1.1449787308141992
2023-12-08,1.14265448843981
2023-12-11,1.1377212801350645
2023-12-12,1.1394388618047955
2023-12-13,1.1414231985852699
2023-12-14,1.1480093202309796
2023-12-15,1.1537913848344608
2023-12-18,1.1510662460567822
2023-12-19,1.1545300699653962
2023-12-20,1.160852075796291
2023-12-21,1.1599949552276452
2023-12-22,1.1685901672682903
2023-12-27,1.1738730920414517
2023-12-28,1.1969992305719415
2023-12-29,1.1900381194409149
2024-01-02,1.1816798539257456
2024-01-03,1.1744969806309353
2024-01-04,1.1772502771897995
2024-01-05,1.172245922208281
2024-01-08,1.1753491409625239
2024-01-09,1.1768151065333738
2024-01-10,1.1735424652007265
2024-01-11,1.1753276209677421
2024-01-12,1.1713379962763548
2024-01-15,1.1710081825688763
2024-01-16,1.1620992120521334
2024-01-17,1.160211703022209
2024-01-18,1.157182778148725
2024-01-19,1.151381270321924
2024-01-22,1.152631842289603
2024-01-23,1.1518700321431241
